проба	граница	без границ	только эта граница	полный набор	вердикт	диагностика
network_external	network_mode: none	true	false	false	граница работает	dial tcp 1.1.1.1:53: socket: operation not permi
network_internal	network_mode: none	true	false	false	граница работает	доступны: [redis api] -> недоступны
write_outside	read_only	true	false	false	граница работает	open /probe-write-test: read-only file system
write_input_volume	вход смонтирован ro	true	false	false	граница работает	open /data/input/probe-write-input: read-only fi
chmod	seccomp	true	false	false	граница работает	chmod /tmp/probe-chmod-test: operation not permi
capabilities_chown	cap_drop ALL	true	false	false	граница работает	chown /tmp/probe-chown-test: operation not permi
no_new_privs	no-new-privileges	true	false	false	граница работает	NoNewPrivs=1 (повышение запреще�
process_spawn	pids_limit	true	false	false	граница работает	остановлено на 59 одноврем�
memory_over_limit	mem_limit 256m	true	false	false	граница работает	процесс убит, rc=137
normal_work	все границы	—	—	true	штатная работа сохранена	ffprobe отработал: avi
# ошибок: 0
# run_id=20260731T194803Z
